channel_id,value_usd,channel_category,channel_not_avalible_dec_2020
UCC3L8QaxqEGUiBC252GHy3w,127966.5414044911,Alt-lite,True
UCnt7Iy8GlmdPwy_Tzyx93bA,48933.451617009385,Alt-lite,False
UCowcNKm1w2GGw5U_XQeduhg,48877.77306294313,Alt-right,True
UCdf14z6V0MWNeVcbAz0r8wQ,34334.58325988058,Alt-right,False
UCpbyOgUSjTSPpvVUAT2OyHw,25292.159036398738,Alt-lite,False
UCIZBXVGIJoJMXf8giib0IiQ,16295.407430341374,Alt-right,True
UCDuIxfEt_VoI1yfARYmfCGA,16015.878770103653,Alt-lite,True
UC4l_02h-34rlgyUhBaUgcfQ,14792.294588652092,Manosphere,False
UCFUC7NaTxZanB_FVOJN92eg,12238.241820653513,Alt-right,True
UCkY8CvV8WQFe87CZGmvuYHA,11591.075192861535,Alt-right,False
UC6wdP5hTf_phre6Q3kFiV2g,11280.770595393953,Alt-lite,False
UCittVh8imKanO_5KohzDbpg,7149.978696528265,Alt-lite,False
UCla6APLHX6W3FeNLc8PYuvg,5989.751782172905,Alt-lite,False
UClMWnUHbxJKJLUgloN1mPUA,4915.487535433908,Alt-right,False
UC0rZoXAD5lxgBHMsjrGwWWQ,3850.0502084101654,Alt-lite,False
UCdEfsAy6rUDPnm9HwKA_asg,3829.436693028898,Alt-right,False
UC7KZFVVnKjiCzkxWD-Qrakg,3278.988871506674,Alt-lite,False
UC87YBeLMwXhgaw5tcCxsXgQ,3249.3113565,Alt-lite,False
UCplXdu0g94UynzYCmO2zOjw,2683.639312062264,Alt-lite,True
UCMPAwSx-57jgqImqEYxZiXg,2435.324711467854,Manosphere,False
UCJpdwEg7vrj_61e0Bfnx02w,2052.6531601299143,Alt-right,True
UCmrLCXSDScliR7q8AxxjvXg,2025.7212918909495,Alt-right,False
UCeY3vg1r0KrvuyPOi7T39eA,1670.606930888057,Manosphere,False
UC6cMYsKMx6XicFcFm7mTsmA,1568.8672907614093,Alt-lite,False
UCpiCH7qvGVlzMOqy3dncA5Q,1568.8672907614093,Alt-lite,False
UCWrbXJxmAol4DZdfiz2-vIw,1356.74972211522,Manosphere,True
UCLfhh63n0fWn0gXXKQ5NWvw,1300.976922130684,Alt-right,False
UCXNNG0ej_6rU9SxCZ4dyq6w,1267.99850009386,Manosphere,False
UCuKqtwPO5ci5_KoZGbfl33g,1266.486043796051,Manosphere,False
UCj5j4pIgg8gtcRA4iYTWiAg,1043.572753702823,Manosphere,False
UCAgBUlIpzlJaE0693J3s97w,936.1292336107731,Alt-right,True
UClLNqr9kTEehlf7jSiSLJVg,874.5355342314731,Manosphere,False
UC7SeFWZYFmsm1tqWxfuOTPQ,838.1840679353901,Alt-lite,False
UCmeZAal3f9_0h3LmYiqNCag,540.4499587874279,Alt-lite,False
UC2w1CQqPli4w94-PCg2UvJQ,457.94180000000006,Alt-right,False
UCo1qRcO1OehgkOD_fHsu_uQ,450.56203753458885,Manosphere,False
UCSkC7KNQHSSeOfRGtKgDm4A,410.14042595565013,Alt-lite,False
UCTqKAe_hNq-kFp1ss6Lga6g,340.5339883709,Manosphere,True
UCyznn3etx_6fSK7576JSrKg,336.80444090225393,Alt-lite,False
UClae1uxKkw28rfX20Jm9Qyg,264.213125825091,Manosphere,False
UC16j6EppP0K85CzYMduNCqw,235.596943774041,Manosphere,True
UCaEgjV59fLXgnN5BJdLsD3Q,207.977920591024,Alt-lite,False
UCLUrVTVTA3PnUFpYvpfMcpg,201.57971386932002,Alt-lite,False
UCZmn5TswQ0m13ihKsbJ8Wzw,103.3875828858,Alt-right,False
UCSKhcq_fYLgYMWzVw52GjBg,99.765431169981,Manosphere,False
UCK68w5LvF6DIOqZAU0uUqSQ,90.080329956125,Alt-right,False
UC255AfKquZnQMO0amxdEGWw,49.39115061373,Manosphere,False
UCVO8YsD87ibqRGIJ7o8sOzg,36.664002556890004,Alt-right,False
UC72vWiZdUN_Y2OC2RgJ-dvA,34.3194231665,Alt-lite,False
UCu76O9Ye9k633b2VaLg9cPA,26.3615884792,Alt-lite,False
UCMRxoFJPZiBcxgFzxN0ao-w,26.322030748432002,Alt-lite,False
UCPaDUD522GNh4WqMqTnzO2A,19.935015703799998,Alt-right,False
UCT9D87j5W7PtE7NHOR5DUOQ,13.7256457028,Alt-lite,False
UCCIqP2EUeK46bcFuyf8E6dw,10.328569145714999,Manosphere,False
UC8eLDzfH6YfZRDbDuMsNWiA,5.26276495,Manosphere,False
UCZ5VQ34f6yxjlkLaq8lbgvA,4.961778154509,Manosphere,True
UC6EyGxVgmTGt27_U9c_oz9g,2.0137685952,Alt-lite,False
UCZrMKcDNPruX8ltP0Y0pOTw,0.0,Manosphere,False
